Date,Open,High,Low,Close,Volume,Ticker,Return,CumulativeReturn,RollingVol_21D,RollingVol_21D_Ann,RollingSharpe_21D,RunningMax,Drawdown,MarketReturn
2024-12-23,225.01,226.88,223.9,225.06,"28,070,010",AMZN,0.0006224435354793556,0.19910490702754546,0.017868151917872974,0.2836481181780822,5.490175268558849,232.93,-0.03378697462757052,0.009647961979277975
2024-12-24,226.94,229.14,226.13,229.05,"15,007,500",AMZN,0.01772860570514534,0.22036336512334187,0.0177962833703442,0.2825072403549908,6.535190072146138,232.93,-0.01665736487356717,0.019067794569046854
2024-12-26,228.5,228.5,226.67,227.05,"16,174,500",AMZN,-0.008731717965509755,0.2097074964036445,0.017794397816934125,0.2824773081225501,5.2317905728175775,232.93,-0.025243635426952293,-0.0033942569423192864
2024-12-27,225.6,226.03,220.9,223.75,"27,367,150",AMZN,-0.014534243558687598,0.19212531301614377,0.017281427426231528,0.2743341556201178,3.359477688270839,232.93,-0.03941098184003777,-0.01766015560363881
2024-12-30,220.06,223.0,218.43,221.3,"28,321,240",AMZN,-0.010949720670391017,0.1790718738345145,0.017312265818154808,0.2748236999152907,3.3207212384251963,232.93,-0.04992916326793451,-0.011627730792378823
2024-12-31,222.97,223.23,218.94,219.39,"24,819,660",AMZN,-0.008630817894261344,0.16889551920720325,0.01743623060785362,0.27679157994451953,2.4698803735087207,232.93,-0.05812905164641746,-0.008652531704912567
2025-01-02,222.03,225.15,218.19,220.22,"33,956,578",AMZN,0.003783217101964498,0.1733177047258776,0.017261613873367,0.2740196252193088,2.066502730265186,232.93,-0.05456574936676262,-0.008781218787877203
2025-01-03,222.51,225.36,221.62,224.19,"27,515,609",AMZN,0.01802742711833627,0.1944696041344769,0.017453331921363877,0.2770630548803637,2.2634453399856937,232.93,-0.03752200231829306,0.024699852408253516
2025-01-06,226.78,228.84,224.84,227.61,"31,849,830",AMZN,0.01525491770373355,0.21269113964515962,0.01712886428577101,0.2719122908467566,2.0036195306124442,232.93,-0.022839479672004392,0.008191565902488358
2025-01-07,227.9,228.38,221.46,222.11,"28,084,160",AMZN,-0.024164140415623203,0.18338750066599196,0.01792340338705778,0.28452520806028586,0.43362043768677155,232.93,-0.04645172369381356,-0.018875151725196
2025-01-08,223.19,223.52,220.2,222.13,"25,033,289",AMZN,9.004547296376231e-05,0.18349405935318885,0.01665766012586736,0.2644321567036915,-0.862665965398796,232.93,-0.04636586098827977,-0.0011921928180418056
2025-01-10,221.46,221.71,216.5,218.94,"36,811,527",AMZN,-0.014360959798316308,0.16649794874527157,0.016904391243722477,0.2683488917749652,-1.3071157974866618,232.93,-0.06006096252092907,-0.014173862188230009
2025-01-13,218.06,219.4,216.47,218.46,"27,262,660",AMZN,-0.0021923814743765035,0.16394054025254423,0.01688926614898669,0.2681087883396021,-1.1985494259278358,232.93,-0.06212166745374148,0.004165590999742801
2025-01-14,220.44,221.82,216.2,217.76,"24,711,650",AMZN,-0.003204247917238945,0.16021098620065,0.015932116659550015,0.25291451124023073,-2.5231574166785617,232.93,-0.06512686214742636,-0.003229732674269276
2025-01-15,222.83,223.57,220.75,223.35,"31,291,260",AMZN,0.025670462894930246,0.1899941392722042,0.01705292836571701,0.27070684548651797,-0.9710475516405598,232.93,-0.04112823595071491,0.031622874220478145
2025-01-16,224.42,224.65,220.31,220.66,"24,757,279",AMZN,-0.012043877322587826,0.17566199584421138,0.017182591914450318,0.2727651905108686,-1.203448071693005,232.93,-0.0526767698450179,-0.014831845965674662
2025-01-17,225.84,226.51,223.08,225.94,"42,370,121",AMZN,0.023928215353938187,0.20379348926421237,0.017173759617849275,0.27262498214899705,-1.209347607298557,232.93,-0.03000901558408109,0.018827912982028634
2025-01-21,228.9,231.78,226.94,230.71,"39,951,461",AMZN,0.021111799592812286,0.22920773616069057,0.0177791168183946,0.28223472979102815,0.054368201899038855,232.93,-0.00953076031425748,0.0017549429715138112
2025-01-22,232.02,235.44,231.19,235.01,"41,448,219",AMZN,0.01863811711672647,0.25211785390803976,0.014744022271908862,0.2340540975376104,3.378925884670562,235.01,0.0,0.010049138575407235
2025-01-23,234.1,235.52,231.51,235.42,"26,404,359",AMZN,0.001744606612484656,0.2543023069955779,0.014586472219557186,0.23155306799220393,2.8548621981999323,235.42,0.0,0.0020091831844465074
2025-01-24,234.5,236.4,232.93,234.85,"25,890,740",AMZN,-0.0024212046555093236,0.2512653844104642,0.014584886238998429,0.231527891331348,2.3513303529078713,235.42,-0.0024212046555093236,-0.010757026601817607
2025-01-27,226.21,235.61,225.86,235.42,"49,428,328",AMZN,0.002427081115605745,0.2543023069955781,0.014580687874075614,0.2314612443543548,2.4455679868681233,235.42,0.0,-0.023193021470316783
2025-01-28,234.29,241.77,233.98,238.15,"41,587,191",AMZN,0.011596295981649796,0.2688475677979649,0.014314081241807707,0.22722899527318682,2.1672695956766184,238.15,0.0,0.02205303004140981
2025-01-29,239.02,240.39,236.15,237.07,"26,091,721",AMZN,-0.00453495695989925,0.26309339868932824,0.014186154829225545,0.22519822643033258,2.4104436051008564,238.15,-0.00453495695989925,-0.010095286210403136
2025-01-30,237.14,237.95,232.22,234.64,"32,020,730",AMZN,-0.010250137090310862,0.25014651819489586,0.0139632200332832,0.2216592462584543,2.6808577238717644,238.15,-0.01473861011967259,-0.004081371801764917
2025-01-31,236.5,240.29,236.41,237.68,"36,162,379",AMZN,0.012956017729287561,0.26634343864883614,0.013797527530476871,0.21902895931925379,4.022782037289532,238.15,-0.0019735460844005903,-0.006855993966711453
2025-02-03,234.06,239.25,232.9,237.42,"37,285,871",AMZN,-0.0010939077751599413,0.26495817571527547,0.013562321067227856,0.2152951724681821,4.512635715361955,238.15,-0.003065294982154132,-0.017775594639198058
2025-02-04,239.01,242.52,238.03,242.06,"29,713,811",AMZN,0.019543425153736083,0.28967979114497355,0.013987518857589783,0.22204497813605312,5.22718951353637,242.06,0.0,0.016343605796602434
2025-02-05,237.02,238.32,235.2,236.17,"38,832,039",AMZN,-0.024332810047095865,0.25829825776546467,0.014974766852442483,0.23771705419641764,2.7442218542805525,242.06,-0.024332810047095865,0.0001907251427464602
2025-02-06,238.01,239.66,236.01,238.83,"60,897,102",AMZN,0.011263073209975882,0.27247056316266227,0.014830585955251236,0.2354282534097724,2.5674327213558725,242.06,-0.013343799058084693,0.007428698609649421
2025-02-07,232.5,234.81,228.06,229.15,"77,539,281",AMZN,-0.040530921576016454,0.22089615855932698,0.016618565406236435,0.2638115472693762,1.546728456865237,242.06,-0.05333388416095186,-0.014820161954815123
2025-02-10,230.55,233.92,229.2,233.14,"35,419,930",AMZN,0.017412175430940424,0.24215461665512317,0.01696514781718149,0.269313372478275,2.286965482772665,242.06,-0.036850367677435436,0.0034263208366602793
2025-02-11,231.92,233.44,230.13,232.76,"23,713,730",AMZN,-0.0016299219353178573,0.24013000159838072,0.016557165594112373,0.2628368554688181,2.9245626146752004,242.06,-0.0384202263901513,-0.0042793866581685635
2025-02-12,230.46,231.18,228.16,228.93,"32,285,250",AMZN,-0.01645471730537884,0.2197240130001603,0.01706761417031014,0.27093997540705583,2.2054139865966236,242.06,-0.054242749731471473,-0.004163830156283331
2025-02-13,228.85,230.42,227.52,230.37,"31,346,510",AMZN,0.006290132354868305,0.22739623847834234,0.01703826504730742,0.2704740725230776,2.6304457500097316,242.06,-0.04829381145170619,0.01849146060123776
2025-02-14,229.2,229.89,227.23,228.68,"27,031,080",AMZN,-0.007336024655988149,0.2183920294101982,0.016333079777518578,0.259279603410554,1.2164069976832372,242.06,-0.05527555151615304,0.0040374799294651265
2025-02-18,228.82,229.3,223.72,226.65,"42,975,129",AMZN,-0.008877033409130708,0.20757632265970538,0.01621840339694703,0.2574591723050821,1.372612394200733,242.06,-0.06366190200776667,0.0031935647607111823
2025-02-19,225.52,226.83,223.71,226.63,"28,566,711",AMZN,-8.824178248401093e-05,0.2074697639725085,0.01537542377227693,0.2440772856220522,0.26710459805138503,242.06,-0.06374452615054127,0.004288365544444387
2025-02-20,224.78,225.13,221.81,222.88,"30,001,670",AMZN,-0.016546794334377668,0.18749001012307587,0.01501351830522043,0.23833221443837513,-1.6225627021005102,242.06,-0.07923655292076348,-0.007040382051812011
2025-02-21,223.28,223.31,214.74,216.58,"55,323,848",AMZN,-0.0282663316582914,0.15392402365602909,0.01534764184713447,0.24363626123283483,-3.897459033199818,242.06,-0.10526315789473684,-0.022444111452617186
2025-02-24,217.45,217.72,212.42,212.71,"42,387,594",AMZN,-0.017868685935912842,0.13330491768341468,0.015590254106054685,0.24748761144554582,-4.787802713908484,242.06,-0.12125092952160621,-0.01142819329422102
2025-02-25,211.63,213.34,204.16,212.8,"58,957,980",AMZN,0.0004231112782662194,0.13378443177580102,0.015623380490026595,0.24801347648849287,-4.640030383936817,242.06,-0.1208791208791209,-0.022249601594697688
2025-02-26,214.94,218.16,213.09,214.35,"39,120,602",AMZN,0.007283834586466087,0.1420427300335665,0.01576736916397184,0.25029922582570735,-4.364811841818626,242.06,-0.1144757498140957,-0.002160938254072962
2025-02-27,218.35,219.97,208.37,208.74,"40,548,566",AMZN,-0.026172148355493308,0.11215301827481539,0.016011402704798176,0.25417313818921744,-6.081407216906968,242.06,-0.13765182186234814,-0.02354582444023921
2025-02-28,208.65,212.62,206.99,212.28,"51,771,738",AMZN,0.016958896234550158,0.13101390590867967,0.016786928706181998,0.266484231798773,-4.832571555553989,242.06,-0.12302734859125841,0.022657697789906672
2025-03-03,213.35,214.01,202.55,205.02,"42,948,449",AMZN,-0.0342001130582249,0.0923331024561782,0.017928333493416226,0.28460347107245515,-5.534731618956098,242.06,-0.15301991241840862,-0.03343250722844117
2025-03-04,200.11,206.8,197.43,203.8,"60,853,078",AMZN,-0.005950638962052501,0.08583302253716285,0.017381986030919932,0.27593047398127685,-6.53093398675398,242.06,-0.1580599851276543,-0.01195351040578217
2025-03-05,204.8,209.98,203.26,208.36,"38,610,090",AMZN,0.022374877330716414,0.11012840321807293,0.01850883023907102,0.29381857122776456,-5.174820239855767,242.06,-0.139221680575064,0.010905327742630326
2025-03-06,204.4,205.77,198.3,200.7,"49,863,762",AMZN,-0.03676329429832992,0.0693164260216319,0.018695850026276682,0.296787418310931,-7.399703582983205,242.06,-0.1708667272577048,-0.02305884359193901
2025-03-07,199.49,202.27,192.53,199.25,"59,802,820",AMZN,-0.007224713502740343,0.06159092119985132,0.018350828421653306,0.29131037013426353,-6.834091636387321,242.06,-0.17685697760885732,0.0016557118819969954
2025-03-10,195.6,196.73,190.85,194.54,"62,350,930",AMZN,-0.02363864491844425,0.036496350364964014,0.018107349182865808,0.28744525704282936,-8.38303058627079,242.06,-0.1963149632322565,-0.04664380504250871
2025-03-11,193.9,200.18,193.4,196.59,"54,002,879",AMZN,0.010537678626503677,0.04741861580265394,0.017143905410247722,0.2721510612955814,-6.602359625879725,242.06,-0.18784598859786827,-2.568393670407002e-05
2025-03-12,200.72,201.52,195.29,198.89,"43,679,281",AMZN,0.011699476066941328,0.05967286483030598,0.016776386699774316,0.26631688263512676,-7.004406003662843,242.06,-0.1783442121787987,0.019437658836405802
2025-03-13,198.17,198.88,191.82,193.89,"41,270,762",AMZN,-0.02513952436019906,0.03303319303106256,0.01715212879673827,0.272281603509114,-7.88708004150176,242.06,-0.19900024787242843,-0.01684016954811285
2025-03-14,197.41,198.65,195.32,197.95,"38,096,660",AMZN,0.020939708081902042,0.05466460653204819,0.018196669860329556,0.2888631788398587,-5.880893864285944,242.06,-0.18222754688920106,0.031172345580274725
2025-03-17,198.77,199.0,194.32,195.74,"47,341,754",AMZN,-0.011164435463500766,0.0428898715967827,0.01796888806181572,0.2852472548875309,-6.689734878010571,242.06,-0.19135751466578532,-0.007265058525014753
2025-03-18,192.52,194.0,189.38,192.82,"40,414,871",AMZN,-0.014917748033105194,0.027332303266024427,0.018039928970062676,0.2863749943443325,-6.981088537358384,242.06,-0.2034206395108651,-0.016947844145580277
